id clazz
0 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketAddEntity_1_18_2
1 net.earthcomputer.multiconnect.packets.SPacketAddExperienceOrb
2 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketEntitySpawnGlobal_1_15_2
3 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketAddMob_1_18_2
4 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketAddPainting_1_18_2
5 net.earthcomputer.multiconnect.packets.latest.SPacketAddPlayer_Latest
6 net.earthcomputer.multiconnect.packets.SPacketAnimate
7 net.earthcomputer.multiconnect.packets.latest.SPacketAwardStats_Latest
8 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketBlockChangedAck_1_18_2
9 net.earthcomputer.multiconnect.packets.SPacketBlockDestruction
10 net.earthcomputer.multiconnect.packets.v1_17_1.SPacketBlockEntityData_1_17_1
11 net.earthcomputer.multiconnect.packets.SPacketBlockEvent
12 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketBlockUpdate_1_18_2
13 net.earthcomputer.multiconnect.packets.latest.SPacketBossEvent_Latest
14 net.earthcomputer.multiconnect.packets.latest.SPacketChangeDifficulty_Latest
15 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketSystemChat_1_15_2
16 net.earthcomputer.multiconnect.packets.v1_16_1.SPacketChunkDeltaUpdate_1_16_1
17 net.earthcomputer.multiconnect.packets.latest.SPacketCommandSuggestions_Latest
18 net.earthcomputer.multiconnect.packets.SPacketCommands
19 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketAckScreenAction_1_16_5
20 net.earthcomputer.multiconnect.packets.SPacketContainerClose
21 net.earthcomputer.multiconnect.packets.v1_17.SPacketContainerSetContent_1_17
22 net.earthcomputer.multiconnect.packets.SPacketContainerSetData
23 net.earthcomputer.multiconnect.packets.v1_17.SPacketContainerSetSlot_1_17
24 net.earthcomputer.multiconnect.packets.SPacketCooldown
25 net.earthcomputer.multiconnect.packets.latest.SPacketCustomPayload_Latest
26 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketCustomSound_1_18_2
27 net.earthcomputer.multiconnect.packets.SPacketDisconnect
28 net.earthcomputer.multiconnect.packets.SPacketEntityEvent
29 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketExplode_1_16_5
30 net.earthcomputer.multiconnect.packets.SPacketForgetLevelChunk
31 net.earthcomputer.multiconnect.packets.SPacketGameEvent
32 net.earthcomputer.multiconnect.packets.SPacketHorseScreenOpen
33 net.earthcomputer.multiconnect.packets.latest.SPacketKeepAlive_Latest
34 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketLevelChunkWithLight_1_15_2
35 net.earthcomputer.multiconnect.packets.latest.SPacketLevelEvent_Latest
36 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketLevelParticles_1_18_2
37 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketLightUpdate_1_15_2
38 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketLogin_1_15_2
39 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketMapItemData_1_16_5
40 net.earthcomputer.multiconnect.packets.latest.SPacketMerchantOffers_Latest
41 net.earthcomputer.multiconnect.packets.SPacketMoveEntityPos
42 net.earthcomputer.multiconnect.packets.SPacketMoveEntityPosRot
43 net.earthcomputer.multiconnect.packets.SPacketMoveEntityRot
44 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketEntity_1_16_5
