id clazz
0 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketAddEntity_1_18_2
1 net.earthcomputer.multiconnect.packets.SPacketAddExperienceOrb
2 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketEntitySpawnGlobal_1_15_2
3 net.earthcomputer.multiconnect.packets.v1_14_4.SPacketAddMob_1_14_4
4 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketAddPainting_1_18_2
5 net.earthcomputer.multiconnect.packets.v1_14_4.SPacketAddPlayer_1_14_4
6 net.earthcomputer.multiconnect.packets.SPacketAnimate
7 net.earthcomputer.multiconnect.packets.latest.SPacketAwardStats_Latest
8 net.earthcomputer.multiconnect.packets.SPacketBlockDestruction
9 net.earthcomputer.multiconnect.packets.v1_17_1.SPacketBlockEntityData_1_17_1
10 net.earthcomputer.multiconnect.packets.SPacketBlockEvent
11 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketBlockUpdate_1_18_2
12 net.earthcomputer.multiconnect.packets.latest.SPacketBossEvent_Latest
13 net.earthcomputer.multiconnect.packets.latest.SPacketChangeDifficulty_Latest
14 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketSystemChat_1_15_2
15 net.earthcomputer.multiconnect.packets.v1_16_1.SPacketMultiBlockUpdate_1_16_1
16 net.earthcomputer.multiconnect.packets.latest.SPacketCommandSuggestions_Latest
17 net.earthcomputer.multiconnect.packets.SPacketCommands
18 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketAckScreenAction_1_16_5
19 net.earthcomputer.multiconnect.packets.SPacketContainerClose
20 net.earthcomputer.multiconnect.packets.v1_17.SPacketContainerSetContent_1_17
21 net.earthcomputer.multiconnect.packets.SPacketContainerSetData
22 net.earthcomputer.multiconnect.packets.v1_17.SPacketContainerSetSlot_1_17
23 net.earthcomputer.multiconnect.packets.SPacketCooldown
24 net.earthcomputer.multiconnect.packets.latest.SPacketCustomPayload_Latest
25 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketCustomSound_1_18_2
26 net.earthcomputer.multiconnect.packets.SPacketDisconnect
27 net.earthcomputer.multiconnect.packets.SPacketEntityEvent
28 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketExplode_1_16_5
29 net.earthcomputer.multiconnect.packets.SPacketForgetLevelChunk
30 net.earthcomputer.multiconnect.packets.SPacketGameEvent
31 net.earthcomputer.multiconnect.packets.SPacketHorseScreenOpen
32 net.earthcomputer.multiconnect.packets.latest.SPacketKeepAlive_Latest
33 net.earthcomputer.multiconnect.packets.v1_14_4.SPacketLevelChunkWithLight_1_14_4
34 net.earthcomputer.multiconnect.packets.latest.SPacketLevelEvent_Latest
35 net.earthcomputer.multiconnect.packets.v1_14_4.SPacketLevelParticles_1_14_4
36 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketLightUpdate_1_15_2
37 net.earthcomputer.multiconnect.packets.v1_14_4.SPacketLogin_1_14_4
38 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketMapItemData_1_16_5
39 net.earthcomputer.multiconnect.packets.latest.SPacketMerchantOffers_Latest
40 net.earthcomputer.multiconnect.packets.SPacketMoveEntityPos
41 net.earthcomputer.multiconnect.packets.SPacketMoveEntityPosRot
42 net.earthcomputer.multiconnect.packets.SPacketMoveEntityRot
43 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketEntity_1_16_5
44 net.earthcomputer.multiconnect.packets.SPacketMoveVehicle
45 net.earthcomputer.multiconnect.packets.SPacketOpenBook
