class superclass
AbstractArrow Projectile
AbstractChestedHorse AbstractHorse
AbstractFish WaterAnimal
AbstractGolem PathfinderMob
AbstractHorse Animal
AbstractHurtingProjectile Projectile
AbstractIllager Raider
AbstractMinecart Entity
AbstractMinecartContainer AbstractMinecart
AbstractPiglin Monster
AbstractSchoolingFish AbstractFish
AbstractSkeleton Monster
AbstractVillager AgeableMob
AgeableMob PathfinderMob
AmbientCreature Mob
Animal AgeableMob
Fireball AbstractHurtingProjectile
FlyingMob Mob
HangingEntity Entity
LivingEntity Entity
Mob LivingEntity
Monster PathfinderMob
PathfinderMob Mob
PatrollingMonster Monster
Projectile Entity
Raider PatrollingMonster
ShoulderRidingEntity TamableAnimal
SpellcasterIllager AbstractIllager
TamableAnimal Animal
ThrowableItemProjectile ThrowableProjectile
ThrowableProjectile Projectile
WaterAnimal PathfinderMob
minecraft:area_effect_cloud Entity
minecraft:armor_stand LivingEntity
minecraft:arrow AbstractArrow
minecraft:axolotl Animal
minecraft:bat AmbientCreature
minecraft:bee Animal
minecraft:blaze Monster
minecraft:boat Entity
minecraft:cat TamableAnimal
minecraft:cave_spider minecraft:spider
minecraft:chest_minecart AbstractMinecartContainer
minecraft:chicken Animal
minecraft:cod AbstractSchoolingFish
minecraft:command_block_minecart AbstractMinecart
minecraft:cow Animal
minecraft:creeper Monster
minecraft:dolphin WaterAnimal
minecraft:donkey AbstractChestedHorse
minecraft:dragon_fireball AbstractHurtingProjectile
minecraft:drowned minecraft:zombie
minecraft:egg ThrowableItemProjectile
minecraft:elder_guardian minecraft:guardian
minecraft:end_crystal Entity
minecraft:ender_dragon Mob
minecraft:ender_pearl ThrowableItemProjectile
minecraft:enderman Monster
minecraft:endermite Monster
minecraft:evoker SpellcasterIllager
minecraft:evoker_fangs Entity
minecraft:experience_bottle ThrowableItemProjectile
minecraft:experience_orb Entity
minecraft:eye_of_ender Entity
minecraft:falling_block Entity
minecraft:fireball Fireball
minecraft:firework_rocket Projectile
minecraft:fishing_bobber Projectile
minecraft:fox Animal
minecraft:furnace_minecart AbstractMinecart
minecraft:ghast FlyingMob
minecraft:giant Monster
minecraft:glow_item_frame minecraft:item_frame
minecraft:glow_squid minecraft:squid
minecraft:goat Animal
minecraft:guardian Monster
minecraft:hoglin Animal
minecraft:hopper_minecart AbstractMinecartContainer
minecraft:horse AbstractHorse
minecraft:husk minecraft:zombie
minecraft:illusioner SpellcasterIllager
minecraft:iron_golem AbstractGolem
minecraft:item Entity
minecraft:item_frame HangingEntity
minecraft:leash_knot HangingEntity
minecraft:lightning_bolt Entity
minecraft:llama AbstractChestedHorse
minecraft:llama_spit Projectile
minecraft:magma_cube minecraft:slime
minecraft:marker Entity
minecraft:minecart AbstractMinecart
minecraft:mooshroom minecraft:cow
minecraft:mule AbstractChestedHorse
minecraft:ocelot Animal
minecraft:painting HangingEntity
minecraft:panda Animal
minecraft:parrot ShoulderRidingEntity
minecraft:phantom FlyingMob
minecraft:pig Animal
minecraft:piglin AbstractPiglin
minecraft:piglin_brute AbstractPiglin
minecraft:pillager AbstractIllager
minecraft:player LivingEntity
minecraft:polar_bear Animal
minecraft:potion ThrowableItemProjectile
minecraft:pufferfish AbstractFish
minecraft:rabbit Animal
minecraft:ravager Raider
minecraft:salmon AbstractSchoolingFish
minecraft:sheep Animal
minecraft:shulker AbstractGolem
minecraft:shulker_bullet Projectile
minecraft:silverfish Monster
minecraft:skeleton AbstractSkeleton
minecraft:skeleton_horse AbstractHorse
minecraft:slime Mob
minecraft:small_fireball Fireball
minecraft:snow_golem AbstractGolem
minecraft:snowball ThrowableItemProjectile
minecraft:spawner_minecart AbstractMinecart
minecraft:spectral_arrow AbstractArrow
minecraft:spider Monster
minecraft:squid WaterAnimal
minecraft:stray AbstractSkeleton
minecraft:strider Animal
minecraft:tnt Entity
minecraft:tnt_minecart AbstractMinecart
minecraft:trader_llama minecraft:llama
minecraft:trident AbstractArrow
minecraft:tropical_fish AbstractSchoolingFish
minecraft:turtle Animal
minecraft:vex Monster
minecraft:villager AbstractVillager
minecraft:vindicator AbstractIllager
minecraft:wandering_trader AbstractVillager
minecraft:witch Raider
minecraft:wither Monster
minecraft:wither_skeleton AbstractSkeleton
minecraft:wither_skull AbstractHurtingProjectile
minecraft:wolf TamableAnimal
minecraft:zoglin Monster
minecraft:zombie Monster
minecraft:zombie_horse AbstractHorse
minecraft:zombie_villager minecraft:zombie
minecraft:zombified_piglin minecraft:zombie
