id clazz
0 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketAddEntity_1_13_2
1 net.earthcomputer.multiconnect.packets.SPacketAddExperienceOrb
2 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketEntitySpawnGlobal_1_15_2
3 net.earthcomputer.multiconnect.packets.v1_14_4.SPacketAddMob_1_14_4
4 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketAddPainting_1_18_2
5 net.earthcomputer.multiconnect.packets.v1_14_4.SPacketAddPlayer_1_14_4
6 net.earthcomputer.multiconnect.packets.SPacketAnimate
7 net.earthcomputer.multiconnect.packets.latest.SPacketAwardStats_Latest
8 net.earthcomputer.multiconnect.packets.SPacketBlockDestruction
9 net.earthcomputer.multiconnect.packets.v1_17_1.SPacketBlockEntityData_1_17_1
10 net.earthcomputer.multiconnect.packets.SPacketBlockEvent
11 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketBlockUpdate_1_18_2
12 net.earthcomputer.multiconnect.packets.latest.SPacketBossEvent_Latest
13 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketChangeDifficulty_1_13_2
14 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketSystemChat_1_15_2
15 net.earthcomputer.multiconnect.packets.v1_16_1.SPacketChunkDeltaUpdate_1_16_1
16 net.earthcomputer.multiconnect.packets.latest.SPacketCommandSuggestions_Latest
17 net.earthcomputer.multiconnect.packets.SPacketCommands
18 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketAckScreenAction_1_16_5
19 net.earthcomputer.multiconnect.packets.SPacketContainerClose
20 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketOpenScreen_1_13_2
21 net.earthcomputer.multiconnect.packets.v1_17.SPacketContainerSetContent_1_17
22 net.earthcomputer.multiconnect.packets.SPacketContainerSetData
23 net.earthcomputer.multiconnect.packets.v1_17.SPacketContainerSetSlot_1_17
24 net.earthcomputer.multiconnect.packets.SPacketCooldown
25 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketCustomPayload_1_13_2
26 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketCustomSound_1_18_2
27 net.earthcomputer.multiconnect.packets.SPacketDisconnect
28 net.earthcomputer.multiconnect.packets.SPacketEntityEvent
29 net.earthcomputer.multiconnect.packets.SPacketTagQuery
30 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketExplode_1_16_5
31 net.earthcomputer.multiconnect.packets.SPacketForgetLevelChunk
32 net.earthcomputer.multiconnect.packets.SPacketGameEvent
33 net.earthcomputer.multiconnect.packets.latest.SPacketKeepAlive_Latest
34 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketLevelChunkWithLight_1_13_2
35 net.earthcomputer.multiconnect.packets.latest.SPacketLevelEvent_Latest
36 net.earthcomputer.multiconnect.packets.v1_14_4.SPacketLevelParticles_1_14_4
37 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketLogin_1_13_2
38 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketMapItemData_1_13_2
39 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketEntity_1_16_5
40 net.earthcomputer.multiconnect.packets.SPacketMoveEntityPos
41 net.earthcomputer.multiconnect.packets.SPacketMoveEntityPosRot
42 net.earthcomputer.multiconnect.packets.SPacketMoveEntityRot
43 net.earthcomputer.multiconnect.packets.SPacketMoveVehicle
44 net.earthcomputer.multiconnect.packets.SPacketOpenSignEditor
45 net.earthcomputer.multiconnect.packets.latest.SPacketPlaceGhostRecipe_Latest
46 net.earthcomputer.multiconnect.packets.SPacketPlayerAbilities
47 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketCombatEvent_1_16_5
48 net.earthcomputer.multiconnect.packets.SPacketPlayerInfo
49 net.earthcomputer.multiconnect.packets.SPacketPlayerLookAt
50 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketPlayerPosition_1_13_2
51 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketUseBed_1_13_2
52 net.earthcomputer.multiconnect.packets.v1_16_1.SPacketRecipe_1_16_1
53 net.earthcomputer.multiconnect.packets.SPacketRemoveEntities
54 net.earthcomputer.multiconnect.packets.v1_18.SPacketRemoveMobEffect_1_18
55 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketResourcePack_1_16_5
56 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketRespawn_1_13_2
57 net.earthcomputer.multiconnect.packets.SPacketRotateHead
58 net.earthcomputer.multiconnect.packets.SPacketSelectAdvancementsTab
59 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketWorldBorder_1_16_5
60 net.earthcomputer.multiconnect.packets.SPacketSetCamera
61 net.earthcomputer.multiconnect.packets.SPacketSetCarriedItem
62 net.earthcomputer.multiconnect.packets.SPacketSetDisplayObjective
63 net.earthcomputer.multiconnect.packets.SPacketSetEntityData
64 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketSetEntityLink_1_13_2
65 net.earthcomputer.multiconnect.packets.SPacketSetEntityMotion
66 net.earthcomputer.multiconnect.packets.v1_15_2.SPacketSetEquipment_1_15_2
67 net.earthcomputer.multiconnect.packets.SPacketSetExperience
68 net.earthcomputer.multiconnect.packets.SPacketSetHealth
69 net.earthcomputer.multiconnect.packets.latest.SPacketSetObjective_Latest
70 net.earthcomputer.multiconnect.packets.SPacketSetPassengers
71 net.earthcomputer.multiconnect.packets.latest.SPacketSetPlayerTeam_Latest
72 net.earthcomputer.multiconnect.packets.SPacketSetScore
73 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketSetDefaultSpawnPosition_1_16_5
74 net.earthcomputer.multiconnect.packets.SPacketSetTime
75 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketTitle_1_16_5
76 net.earthcomputer.multiconnect.packets.SPacketStopSound
77 net.earthcomputer.multiconnect.packets.v1_18_2.SPacketSound_1_18_2
78 net.earthcomputer.multiconnect.packets.SPacketTabList
79 net.earthcomputer.multiconnect.packets.SPacketTakeItemEntity
80 net.earthcomputer.multiconnect.packets.SPacketTeleportEntity
81 net.earthcomputer.multiconnect.packets.SPacketUpdateAdvancements
82 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketUpdateAttributes_1_16_5
83 net.earthcomputer.multiconnect.packets.v1_18.SPacketUpdateMobEffect_1_18
84 net.earthcomputer.multiconnect.packets.v1_13_2.SPacketUpdateRecipes_1_13_2
