id clazz
53 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketPlayerPositionLook_1_16_5
54 net.earthcomputer.multiconnect.packets.SPacketUnlockRecipes
55 net.earthcomputer.multiconnect.packets.SPacketEntitiesDestroy
56 net.earthcomputer.multiconnect.packets.v1_18.SPacketRemoveEntityStatusEffect_1_18
57 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketResourcePackSend_1_16_5
58 net.earthcomputer.multiconnect.packets.SPacketPlayerRespawn
59 net.earthcomputer.multiconnect.packets.SPacketEntitySetHeadYaw
60 net.earthcomputer.multiconnect.packets.SPacketSelectAdvancementTab
61 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketWorldBorder_1_16_5
62 net.earthcomputer.multiconnect.packets.SPacketSetCameraEntity
63 net.earthcomputer.multiconnect.packets.SPacketUpdateSelectedSlot
64 net.earthcomputer.multiconnect.packets.SPacketChunkRenderDistanceCenter
65 net.earthcomputer.multiconnect.packets.SPacketChunkLoadDistance
66 net.earthcomputer.multiconnect.packets.SPacketScoreboardDisplay
67 net.earthcomputer.multiconnect.packets.SPacketEntityTrackerUpdate
68 net.earthcomputer.multiconnect.packets.SPacketEntityAttach
69 net.earthcomputer.multiconnect.packets.SPacketEntityVelocityUpdate
70 net.earthcomputer.multiconnect.packets.SPacketEntityEquipmentUpdate
71 net.earthcomputer.multiconnect.packets.SPacketExperienceBarUpdate
72 net.earthcomputer.multiconnect.packets.SPacketHealthUpdate
73 net.earthcomputer.multiconnect.packets.SPacketScoreboardObjectiveUpdate
74 net.earthcomputer.multiconnect.packets.SPacketEntityPassengersSet
75 net.earthcomputer.multiconnect.packets.SPacketTeam
76 net.earthcomputer.multiconnect.packets.SPacketScoreboardPlayerUpdate
77 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketPlayerSpawnPosition_1_16_5
78 net.earthcomputer.multiconnect.packets.SPacketWorldTimeUpdate
79 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketTitle_1_16_5
80 net.earthcomputer.multiconnect.packets.SPacketPlaySoundFromEntity
81 net.earthcomputer.multiconnect.packets.SPacketPlaySound
82 net.earthcomputer.multiconnect.packets.SPacketStopSound
83 net.earthcomputer.multiconnect.packets.SPacketPlayerListHeader
84 net.earthcomputer.multiconnect.packets.SPacketNbtQueryResponse
85 net.earthcomputer.multiconnect.packets.SPacketItemPickupAnimation
86 net.earthcomputer.multiconnect.packets.SPacketEntityPosition
87 net.earthcomputer.multiconnect.packets.SPacketAdvancementUpdate
88 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketEntityAttributes_1_16_5
89 net.earthcomputer.multiconnect.packets.v1_18.SPacketEntityStatusEffect_1_18
90 net.earthcomputer.multiconnect.packets.SPacketSynchronizeRecipes
91 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketSynchronizeTags_1_16_5
