id clazz
0 net.earthcomputer.multiconnect.packets.latest.SPacketAddEntity_Latest
1 net.earthcomputer.multiconnect.packets.SPacketAddExperienceOrb
2 net.earthcomputer.multiconnect.packets.latest.SPacketAddPlayer_Latest
3 net.earthcomputer.multiconnect.packets.SPacketAnimate
4 net.earthcomputer.multiconnect.packets.latest.SPacketAwardStats_Latest
5 net.earthcomputer.multiconnect.packets.latest.SPacketBlockChangedAck_Latest
6 net.earthcomputer.multiconnect.packets.SPacketBlockDestruction
7 net.earthcomputer.multiconnect.packets.latest.SPacketBlockEntityData_Latest
8 net.earthcomputer.multiconnect.packets.SPacketBlockEvent
9 net.earthcomputer.multiconnect.packets.latest.SPacketBlockUpdate_Latest
10 net.earthcomputer.multiconnect.packets.latest.SPacketBossEvent_Latest
11 net.earthcomputer.multiconnect.packets.latest.SPacketChangeDifficulty_Latest
12 net.earthcomputer.multiconnect.packets.SPacketChatPreview
13 net.earthcomputer.multiconnect.packets.SPacketClearTitles
14 net.earthcomputer.multiconnect.packets.latest.SPacketCommandSuggestions_Latest
15 net.earthcomputer.multiconnect.packets.SPacketCommands
16 net.earthcomputer.multiconnect.packets.SPacketContainerClose
17 net.earthcomputer.multiconnect.packets.latest.SPacketContainerSetContent_Latest
18 net.earthcomputer.multiconnect.packets.SPacketContainerSetData
19 net.earthcomputer.multiconnect.packets.latest.SPacketContainerSetSlot_Latest
20 net.earthcomputer.multiconnect.packets.SPacketCooldown
21 net.earthcomputer.multiconnect.packets.SPacketCustomChatCompletions
22 net.earthcomputer.multiconnect.packets.latest.SPacketCustomPayload_Latest
23 net.earthcomputer.multiconnect.packets.latest.SPacketCustomSound_Latest
24 net.earthcomputer.multiconnect.packets.SPacketDeleteChat
25 net.earthcomputer.multiconnect.packets.SPacketDisconnect
26 net.earthcomputer.multiconnect.packets.SPacketEntityEvent
27 net.earthcomputer.multiconnect.packets.latest.SPacketExplode_Latest
28 net.earthcomputer.multiconnect.packets.SPacketForgetLevelChunk
29 net.earthcomputer.multiconnect.packets.SPacketGameEvent
30 net.earthcomputer.multiconnect.packets.SPacketHorseScreenOpen
31 net.earthcomputer.multiconnect.packets.SPacketInitializeBorder
32 net.earthcomputer.multiconnect.packets.latest.SPacketKeepAlive_Latest
33 net.earthcomputer.multiconnect.packets.latest.SPacketLevelChunkWithLight_Latest
34 net.earthcomputer.multiconnect.packets.latest.SPacketLevelEvent_Latest
35 net.earthcomputer.multiconnect.packets.latest.SPacketLevelParticles_Latest
36 net.earthcomputer.multiconnect.packets.latest.SPacketLightUpdate_Latest
37 net.earthcomputer.multiconnect.packets.latest.SPacketLogin_Latest
38 net.earthcomputer.multiconnect.packets.latest.SPacketMapItemData_Latest
39 net.earthcomputer.multiconnect.packets.latest.SPacketMerchantOffers_Latest
40 net.earthcomputer.multiconnect.packets.SPacketMoveEntityPos
41 net.earthcomputer.multiconnect.packets.SPacketMoveEntityPosRot
42 net.earthcomputer.multiconnect.packets.SPacketMoveEntityRot
43 net.earthcomputer.multiconnect.packets.SPacketMoveVehicle
44 net.earthcomputer.multiconnect.packets.SPacketOpenBook
45 net.earthcomputer.multiconnect.packets.latest.SPacketOpenScreen_Latest
46 net.earthcomputer.multiconnect.packets.SPacketOpenSignEditor
47 net.earthcomputer.multiconnect.packets.SPacketPing
48 net.earthcomputer.multiconnect.packets.latest.SPacketPlaceGhostRecipe_Latest
49 net.earthcomputer.multiconnect.packets.SPacketPlayerAbilities
50 net.earthcomputer.multiconnect.packets.SPacketPlayerChatHeader
51 net.earthcomputer.multiconnect.packets.latest.SPacketPlayerChat_Latest
52 net.earthcomputer.multiconnect.packets.SPacketPlayerCombatEnd
53 net.earthcomputer.multiconnect.packets.SPacketPlayerCombatEnter
54 net.earthcomputer.multiconnect.packets.SPacketPlayerCombatKill
55 net.earthcomputer.multiconnect.packets.SPacketPlayerInfo
56 net.earthcomputer.multiconnect.packets.SPacketPlayerLookAt
57 net.earthcomputer.multiconnect.packets.latest.SPacketPlayerPosition_Latest
58 net.earthcomputer.multiconnect.packets.latest.SPacketRecipe_Latest
59 net.earthcomputer.multiconnect.packets.SPacketRemoveEntities
60 net.earthcomputer.multiconnect.packets.latest.SPacketRemoveMobEffect_Latest
61 net.earthcomputer.multiconnect.packets.latest.SPacketResourcePack_Latest
62 net.earthcomputer.multiconnect.packets.latest.SPacketRespawn_Latest
63 net.earthcomputer.multiconnect.packets.SPacketRotateHead
64 net.earthcomputer.multiconnect.packets.SPacketSectionBlocksUpdate
65 net.earthcomputer.multiconnect.packets.SPacketSelectAdvancementsTab
66 net.earthcomputer.multiconnect.packets.latest.SPacketServerData_Latest
67 net.earthcomputer.multiconnect.packets.SPacketSetActionBarText
68 net.earthcomputer.multiconnect.packets.SPacketSetBorderCenter
69 net.earthcomputer.multiconnect.packets.SPacketSetBorderLerpSize
70 net.earthcomputer.multiconnect.packets.SPacketSetBorderSize
71 net.earthcomputer.multiconnect.packets.SPacketSetBorderWarningDelay
72 net.earthcomputer.multiconnect.packets.SPacketSetBorderWarningDistance
73 net.earthcomputer.multiconnect.packets.SPacketSetCamera
74 net.earthcomputer.multiconnect.packets.SPacketSetCarriedItem
75 net.earthcomputer.multiconnect.packets.SPacketSetChunkCacheCenter
76 net.earthcomputer.multiconnect.packets.SPacketSetChunkCacheRadius
77 net.earthcomputer.multiconnect.packets.latest.SPacketSetDefaultSpawnPosition_Latest
78 net.earthcomputer.multiconnect.packets.SPacketSetDisplayChatPreview
79 net.earthcomputer.multiconnect.packets.SPacketSetDisplayObjective
80 net.earthcomputer.multiconnect.packets.SPacketSetEntityData
81 net.earthcomputer.multiconnect.packets.latest.SPacketSetEntityLink_Latest
82 net.earthcomputer.multiconnect.packets.SPacketSetEntityMotion
83 net.earthcomputer.multiconnect.packets.latest.SPacketSetEquipment_Latest
84 net.earthcomputer.multiconnect.packets.SPacketSetExperience
85 net.earthcomputer.multiconnect.packets.SPacketSetHealth
86 net.earthcomputer.multiconnect.packets.latest.SPacketSetObjective_Latest
87 net.earthcomputer.multiconnect.packets.SPacketSetPassengers
88 net.earthcomputer.multiconnect.packets.latest.SPacketSetPlayerTeam_Latest
89 net.earthcomputer.multiconnect.packets.SPacketSetScore
90 net.earthcomputer.multiconnect.packets.SPacketSetSimulationDistance
91 net.earthcomputer.multiconnect.packets.SPacketSetSubtitleText
92 net.earthcomputer.multiconnect.packets.SPacketSetTime
93 net.earthcomputer.multiconnect.packets.SPacketSetTitleText
94 net.earthcomputer.multiconnect.packets.SPacketSetTitlesAnimation
95 net.earthcomputer.multiconnect.packets.latest.SPacketSoundEntity_Latest
96 net.earthcomputer.multiconnect.packets.latest.SPacketSound_Latest
97 net.earthcomputer.multiconnect.packets.SPacketStopSound
98 net.earthcomputer.multiconnect.packets.latest.SPacketSystemChat_Latest
99 net.earthcomputer.multiconnect.packets.SPacketTabList
100 net.earthcomputer.multiconnect.packets.SPacketTagQuery
101 net.earthcomputer.multiconnect.packets.SPacketTakeItemEntity
102 net.earthcomputer.multiconnect.packets.SPacketTeleportEntity
103 net.earthcomputer.multiconnect.packets.SPacketUpdateAdvancements
104 net.earthcomputer.multiconnect.packets.latest.SPacketUpdateAttributes_Latest
105 net.earthcomputer.multiconnect.packets.latest.SPacketUpdateMobEffect_Latest
106 net.earthcomputer.multiconnect.packets.latest.SPacketUpdateRecipes_Latest
107 net.earthcomputer.multiconnect.packets.latest.SPacketUpdateTags_Latest
